"item_SST_ID","scent","ind_SST_ID","rank_SST_ID","item_UPSIT","ind_UPSIT","rank_UPSIT","rank_ave","rank"
"07-Licorice","Licorice",7,"2/16","13-Licorice",13,"5/40",0.125,1
"05-Banana","Banana",5,"4/16","07-Banana",7,"4/40",0.175,2
"12-Clove","Clove",12,"8/16","08-Clove",8,"2/40",0.275,3
"14-Rose","Rose",14,"7/16","39-Rose",39,"9/40",0.33125,4
"04-Mint","Mint",4,"3/16","06-Mint",6,"21/40",0.35625,5
"13-Pineapple","Pineapple",13,"9/16","26-Pineapple",26,"8/40",0.38125,6
"03-Cinnamon","Cinnamon",3,"10/16","15-Cinnamon",15,"16/40",0.5125,7
"06-Lemon","Lemon",6,"12/16","36-Lemon",36,"23/40",0.6625,8
"08-Turpentine","Turpentine",8,"13/16","22-Turpentine",22,"27/40",0.74375,9
"01-Orange","Orange",1,"15/16","28-Orange",28,"29/40",0.83125,10
"02-Leather","Leather",2,"11/16","09-Leather",9,"40/40",0.84375,11
